line,text
77,"BRONN stands, holding two sparring swords."
78,"BRONN: And if I fight with an edged blade, I'll have no one left to pay me."
79,"He drops one to the ground, clattering, and continues to walk forward."
80,JAIME: I haven't used a sparring sword since I was nine.
81,"JAIME walks to the sparring sword, indignant. He reaches for it, but BRONN slaps his hand with his sword, just as he grabs it."
82,"JAIME: Ah! Bold warrior you are, attacking a man when his guard's down."
83,BRONN: Best time to attack a man.
84,"BRONN swings at JAIME, who parries clumsily. BRONN pushes him, and JAIME falters to the wall."
85,BRONN: Mind yourself. JAIME; If I still had my right hand...
86,BRONN: Plan on growing it back?
87,"They engage in swordplay. JAIME parries defensively, but well. However, BRONN gets him off balance again and causes him to stumble with a forearm nudge. JAIME recovers and faces him. JAIME pants and resets."
88,"JAIME: Come on, then."
89,"JAIME makes an awkward attack, and they continue."
90,"EXT: DREADFORT, NIGHT"
91,"Some riders gallops down the Dreadfort road,"
92,MAN: Open the gates!
93,EXT: DREADFORT COURTYARD
94,The men swing open the door and the riders enter.
95,MAN: Riders coming in! Let's get these horses seen to!
96,RAMSAY stands to greet the riders. ROOSE BOLTON and WALDA dismount and approach.
97,RAMSAY: Father. Welcome home.
98,"ROOSE: Walda, this is Ramsay Snow, my bastard."
99,"RAMSEY steps forward to greet her, warmly smiling."
100,"RAMSAY: A pleasure, Mother."
101,RAMSAY kisses her cheek. WALDA smiles awkwardly.
102,WALDA: Hello.
103,"ROOSE: See that the horses are fed, watered, and rubbed down. And take Lady Walda to her chambers."
104,"WOMAN: This way, my lady."
105,WALDA and the WOMAN exit.
106,ROOSE: Where is your prize?
107,RAMSAY: With the hounds. I'll have a look at him.
108,"ROOSE exits, and RAMSAY greets LOCKE. They walk together."
109,RAMSAY: I hear you took a hand from the Kingslayer.
110,LOCKE: Word travels. How he screamed. You would have loved it.
111,RAMSAY: (laughs)
112,CUT TO: DREADFORT INTERIOR
113,"ROOSE sits down by the fire, aching and exhausted from the ride. RAMSAY and THEON enter. A man stands in the background, sharpening a shaving razor against a strop."
114,RAMSAY: Father.
115,ROOSE rises to inspect THEON.
116,ROOSE: What did you do to him?
117,"RAMSAY: I trained him. He was a slow learner, but he learned."
118,ROOSE: You flayed him.
119,RAMSAY: Peeled a few bits. Removed a few others.
120,ROOSE: This was Balon Greyjoy's son and heir.
121,RAMSAY: We've been flaying our enemies for a thousand years. The flayed man is on our banners.
122,"ROOSE: My banners, not yours. You're not a Bolton. You're a Snow. Tywin Lannister has given me the North. But he won't lift a finger to help me take it. As long as the Ironborn hold Moat Cailin, our armies are trapped south of the Neck. Theon was a valuable hostage, not your plaything. I wanted to trade him for Moat Cailin."
123,RAMSAY: I already asked. Lord Greyjoy refused. Savages have no-
124,ROOSE: You sent terms to Balon Greyjoy without my consent?
125,RAMSAY: You made me acting Lord of the Dreadfort. I acted.
126,ROOSE: I had to smuggle myself into my own lands thanks to the Greyjoys. I needed Theon. I needed him whole.
127,"RAMSAY: Theon was our enemy. But Reek, Reek will never betray us."
128,ROOSE: I placed far too much trust in you.
129,"RAMSAY: Reek, how could you let me stand before my father unshaven? It's disrespectful."
130,"THEON: I'm sorry, my lord."
131,RAMSAY: Give him the razor.
132,RAMSAY sits.
133,"RAMSAY: If I'm not a Bolton, Father, what does it matter?"
134,THEON takes the razor and the shaving cream.
135,"RAMSAY: Go on, Reek. A nice close shave."
136,THEON lathers RAMSAY's face and begins to shave it carefully.
137,"RAMSAY: Reek, tell Father where are Bran and Rickon Stark?"
138,"THEON: I don't know, my lord."
139,ROOSE: You murdered them and displayed their corpses at Winterfell.
140,"RAMSAY: Reek, did you murder the Stark boys?"
141,"THEON: No, my lord. Just two farm boys."
142,RAMSAY: And crisped them so no one would know.
143,"THEON: Yes, my lord."
144,"RAMSAY: The Starks have always ruled the North. If Bran and Rickon are alive, the country will rally to their side now that Robb Stark is gone."
145,THEON continues to shave RAMSAY and holds the razor on RAMSAY's throat. RAMSAY goads him.
146,"RAMSAY: Oh, that's right, Reek. Robb Stark is dead. Sorry. I know he was like a brother to you. But my father put a knife through his heart. How do you feel about that?"
147,"THEON's hand twitches, and he struggles with himself. Then he continues to shave RAMSAY slowly."
148,ROOSE: You ready for a hunt?
149,MERYN TRANT: Always. Find those boys and I'll give you a thousand acres and a holdfast.
150,LOCKE: Your pet rat have any thoughts on which way they went after Winterfell?
151,THEON: Jon Snow is at Castle Black.
152,LOCKE: Who the fuck is Jon Snow?
153,ROOSE: Their bastard brother. He could be sheltering them. He may know where they are.
154,"RAMSEY stands, cleanly shaven."
155,"RAMSAY: Even if he doesn't, he's half Stark himself. Could be a threat."
156,"ROOSE: You want to prove yourself a Bolton? Gather whatever men you can and ride for Moat Cailin. Bring this creature of yours. Maybe he'll be of some use. Take the Moat for the family, for our family, and I'll reconsider your position."
157,"EXT: KING'S LANDING GARDEN, DAY"
158,TYRION and PODRICK meet VARYS.
159,TYRION: Lord Varys. Breakfasting with the king?
160,VARYS: I'm afraid foreigners aren't welcome at such exclusive affairs.
161,"TYRION: Oh, to be foreign."
162,VARYS: Ahem.
163,PODRICK stands aside as TYRION and VARYS head down a more secluded path.
164,VARYS: Shae has been noticed. Sansa's maid saw you with her. She already told your sister. It's only a matter of time before your father hears.
165,TYRION: So I'm guilty of being seen with my own wife's handmaiden. My father will ask you if there's anything more and you'll tell him some clever lie.
166,"VARYS: No, I will not. How long do you imagine your father and sister would let me live if they suspected me of lying? I have no pet sellsword to protect me. No legendary brother to avenge me. Only little birds who whisper in my ear."
167,TYRION: Forgive me if I don't weep for you.
168,VARYS: No one weeps for spiders or whores. I have friends across the sea who could help her.
169,"TYRION: She won't leave. I've told her this is a dangerous place so many times, she no longer believes it."
170,VARYS: Your father has promised to hang the next whore he finds you with. Have you ever known your father to make an idle threat?
171,VARYS bows and leaves. TYRION fumes.
172,EXT: A GARDEN PARTY
173,"SANSA, TYRION, JOFFREY, TYWIN, CERSEI, TOMMEN, and PYCELLE sit at an outdoor banquet table. MACE TYRELL stands before them."
174,"MACE: From House Tyrell and the people of the Reach, Your Grace, it is my honor to present you with this wedding cup."
175,He places the up before JOFFREY.
176,MACE: May you and my daughter Margaery drink deep and live long.
177,"JOFFREY: A handsome goblet, my lord. Or shall I call you Father?"
178,"MACE: I shall be honored, Your Grace."
179,MACE bows and exits. SHAE brings a tray to the table and sets it before SANSA.
180,CERSEI: She's the whore I told you about. The dark-haired one.
181,SHAE exits.
182,TYWIN: Have her brought to the Tower of the Hand before the wedding.
183,TYRION looks concerned. PODRICK places a large tome before JOFFREY and TYRION walks to the front of the table
184,JOFFREY: A book?
185,"TYRION: ""The Lives of Four Kings."" Grand Maester Kaeth's history of the reigns of Daeron the Young Dragon, Baelor the Blessed, Aegon the Unworthy, and Daeron the Good. A book every king should read."
186,JOFFREY is at a loss for words. TYWIN entreats him to respond.
187,"JOFFREY: Now that the war is won, we should all find time for wisdom. Thank you, Uncle."
188,TYRION bows. SHAE watches. THE MOUNTAIN brings forth a sword and lays it on the table before JOFFREY. TYWIN stands.
189,"TYWIN: One of only two Valyrian steel swords in the capital, Your Grace, freshly forged in your honor."
190,"Excitedly, JOFFREY walks around the table. Exuberantly, he unsheaths the sword."
191,"PYCELLE: Careful, Your Grace. Nothing cuts like Valyrian steel."
192,JOFFREY: So they say.
193,"JOFFREY steps away, then spins and cleaves the book that TYRION just gave him, repeatedly. People gasp in response. JOFFREY is very pleased."
194,JOFFREY: Such a great sword should have a name. What shall I call her?
195,MAN: Stormbringer.
196,MAN #2: Terminus.
197,MAN #3: Widow's Wail.
198,MAN #4: Wolfsbane.
199,"JOFFREY: Widow's Wail. I like that. Every time I use it, it'll be like cutting off Ned Stark's head all over again."
200,JOFFREY sheaths the sword. SANSA looks dejected. He sits down next to MACE and SHAE continues to look on.
201,INT: TYRION'S CHAMBERS
202,"The door opens and SHAE walks in, smiling."
203,TYRION: Don't.
204,"SHAE: You want me on the desk? What's wrong, my lion?"
205,TYRION: Don't call me that.
206,SHAE: What should I call you?
207,TYRION: I'm afraid our friendship can't continue.
208,SHAE: Our friendship?
209,TYRION: There's a ship waiting in the harbor bound for Pentos.
210,SHAE: What?
211,"TYRION: You'll have your own cabin, of course, and, across the Narrow Sea, a house, servants."
212,SHAE: What is this?
213,"TYRION: I'm a married man. My wife has suffered a great deal, as you well know. I don't want her to suffer anymore on my account. I need to uphold my vows."
214,SHAE: She doesn't want you.
215,TYRION: I need to do right by her.
216,SHAE: You don't want her.
217,TYRION: By our children.
218,SHAE: What are you afraid of?
219,TYRION: I'm not afraid.
220,SHAE: You are. You are afraid of your father and your sister. You're going to run from them all your life?
221,TYRION: I need you to leave.
222,SHAE: I'm not afraid of them. I'm not going to run.
223,TYRION: Shae.
224,"SHAE: We will fight them together. It's like you said, I am yours and you are mine."
225,TYRION: You're a whore! Sansa is fit to bear my children and you are not. I can't be in love with a whore. I can't have children with a whore. How many men have you been with? Five hundred? Five thousand?
226,SHAE: How many whores have you been with?
227,TYRION: I have enjoyed my time with all of them and I have enjoyed my time with you most of all. But now that time is over.
228,TYRION walks over and opens the door. SHAE sobs. BRONN enters.
229,TYRION: You'll have a comfortable life in Pentos. Bronn will escort you to your ship.
230,"SHAE continues to sob. BRONN clasps her shoulder to lead her out. She turns quickly and slaps him, then storms off, crying. BRONN looks to TYRION, then exits. TYRION walks to the table and violently slaps his cup to the ground."
231,"EXT: STANNIS'S STORMLANDS ARMY CAMP, NIGHT"
232,"A woman screams. A line of men are bound on top of unlit bonfires, including AXELL FLORENT. The soldiers mill about, carrying torches."
233,"MELISANDRE: Hear us now. Accept these tokens of our faith, my lord, and lead us from the darkness."
234,"AXELL FLORENT: Sire, I served you well."
235,The crowd chants along with MELISANDRE.
236,"MELISANDRE: Lord of Light, show us the way..."
237,"AXELL FLORENT: Selyse, you're my sister!"
238,SELYSE: (Chanting with the others) Yours are the stars that guide us.
239,AXELL FLORENT: Tell him! Tell him!
240,"MELISANDRE: Lord of Light, protect us, for the night is dark and full of terrors."
241,The bonfires ignite quickly. The men scream in agony and die.
242,SELYSE: (to STANNIS) Did you see? Their souls. It was their souls. Our lord took them. Did you see?
243,STANNIS leaves without responding. DAVOS trails him.
244,DAVOS: Lord Florent was your brother by law.
245,STANNIS; He was an infidel.
246,"DAVOS: He worshipped the gods of his fathers and their fathers before him. They were the gods of your fathers, too."
247,STANNIS: I ordered him to tear down his idols. He disobeyed.
248,DAVOS: How many ships did he bring to your 'cause? How many men?
249,STANNIS: A good deal more than you.
250,"STANNIS exits and SELYSE catches up, accompanied by MELISANDRE."
251,"SELYSE: Did you see, Ser Davos? They're with our lord now. Their sins all burned away. Did you see?"
252,"DAVOS: I'm sure they're more than grateful, my queen."
253,"MELISANDRE walks past DAVOS and he watches, silently."
254,INT: STORM'S END DINING ROOM
255,Stannis sits at table with SELYSE and MELISANDRE.
256,STANNIS: Meat's off.
257,SELYSE: Our larders are almost empty.
258,"STANNIS: Serve fish, then. We're on an island."
259,SELYSE: You hate fish.
260,"STANNIS: I hate a good many things, but I suffer them all the same."
261,"SELYSE: (to MELISANDRE) When Storm's End was under siege and I was starving, Stannis boiled soup for me from books. The binding glue is made from horses. One morning, he shot two seagulls on the beach. I've never tasted anything as good as grilled seagull. Do you remember?"
262,STANNIS: Of course I remember.
263,"SELYSE: Have you ever known true hunger, my lady?"
264,MELISANDRE: It's all I knew when I was a child.
265,SELYSE: Until you found the Lord of Light?
266,MELISANDRE: Until he found me.
267,SELYSE: I fear for our daughter's soul.
268,MELISANDRE: Every mother should fear for her child's soul.
269,SELYSE: She's a stubborn little beast.
270,STANNIS: She's a child.
271,SELYSE: You barely know her. You think she's sweet because she smiles when you visit. She's sullen and stubborn and sinful. Why else would the Lord of Light have seen fit to mark her face? She needs the rod.
272,STANNIS: She's my daughter. You will not strike her.
273,SELYSE: As you command. Perhaps the Lady Melisandre could speak with her.
274,INT: SHIREEN'S BEDROOM
275,A knock on the door.
276,SHIREEN: Come in.
277,MELISANDRE enters.
278,"MELISANDRE: Were you sleeping, Princess?"
279,SHIREEN: (shakes her head)
280,MELISANDRE: Did you watch the ceremony on the beach?
281,SHIREEN: I heard it.
282,MELISANDRE: And it frightened you?
283,SHIREEN: Ser Axell was my uncle. He was always kind to me.
284,"MELISANDRE: They're in a better place now, Princess. The fire cleansed them of the sins of the world."
285,SHIREEN: But they screamed.
286,MELISANDRE: Women scream when they give birth. Afterward they are filled with joy.
287,SHIREEN: Afterward they aren't ash and bone.
288,"MELISANDRE: You have so many questions, don't you? So did I when I was a child. I was much like you. Only I wasn't a princess."
289,SHIREEN: And you didn't have this.
290,"MELISANDRE: No. But I suffered in other ways, sweet girl, believe me. What do you know of the gods?"
291,"SHIREEN: I read ""The Seven-Pointed Star."""
292,MELISANDRE sits next to SHIREEN to comfort her.
293,"MELISANDRE: Lies and fables. Septons speak of seven gods. There are but two... a god of light and love and joy and a god of darkness, evil, and fear. Eternally at war."
294,SHIREEN: There are no seven heavens and no seven hells?
295,"MELISANDRE: There's only one hell, Princess. The one we live in now."
296,"EXT: THE NORTH, NIGHT"
297,"Heavy breathing as the camera pans through the snowy woods. Suddenly, the camera lurches forward and comes upon a deer and the camera attacks viciously, a wolf's hunt from the predator's point of view."
298,Hodor: Hodor.
299,"Bran is suddenly awakened. HODOR, MEERA, and JOJEN are with him. BRAN is frantic and panting."
300,BRAN: Why did you wake me?
301,MEERA: You've been gone for hours.
302,BRAN: I was hungry.
303,MEERA: We're all hungry.
304,BRAN: I was just eating.
305,"JOJEN: Summer was eating. Your body can't live on the food your wolf consumes. Spending too much time in Summer's skin is dangerous. You're not a direwolf, Bran."
306,BRAN eats some morsels given to him by MEERA.
307,"JOJEN: Must be glorious, though. To run, to leap, to hunt. To be whole. I know that's tempting, but if you're trapped in Summer for too long, you'll forget what it was to be human."
308,"MEERA: You'd forget us, Bran. You'd forget your mother and father. You'd forget your brothers and sisters. You'd forget Winterfell. You'd forget you. And if we lose you, we lose everything."
309,EXT: THE NORTH
310,"HODOR pulls BRAN through the woods on a sled. MEERA and JOJEN walk beside them. A wolf barks. They pause and BRAN turns to see his wolf, Summer."
311,"BRAN: Hodor, take me to the tree."
312,"HODOR carries BRAN to the base of the tree, sets him down and steps back. The bark seems to have twisted into a human face. BRAN touches it and launches into a vision of the Godswood, a THREE-EYED RAVEN, a sword, NED STARK's worried face, the Godswood again. Time speeds forward."
313,THREE-EYED RAVEN: Look for me... beneath the tree.
314,"The THREE-EYED RAVEN lands on the branch of a Godswood. A storm of crows flies into a standing BRAN. A castle interior, an undead horse,"
315,CERSEI: He saw us.
316,BRAN falls from the Winterfell tower. A dragon's shadow sweeps over King's Landing.
317,THREE-EYED RAVEN: North.
318,BRAN gasps and releases his hand from the twisted face on the tree. The vision has ended. MEERA and JOJEN approach.
319,BRAN: I know where we have to go.
320,"INT: KING'S LANDING, THE SEPT OF BAELOR"
321,MARGAERY and MACE walk down the aisle. MACE hands her to JOFFREY. The pair continue up the steps to the HIGH SEPTON. He places a cape over her shoulders. They clasp hands and they bar bound together.
322,"HIGH SEPTON: Let it be known that Margaery of House Tyrell and Joffrey of the Houses Lannister and Baratheon are one heart, one flesh, one soul. Cursed be he who would seek to tear them asunder."
323,"JOFFREY: With this kiss, I pledge my love."
324,JOFFREY and MARGAERY kiss. The crowd applauds.
325,SANSA: We have a new queen.
326,TYRION: Better her than you.
327,EXT: KING'S LANDING GARDEN
328,TYWIN and OLENNA talk in the garden as the wedding guests filter out.
329,"TYWIN: Bit much, wouldn't you say?"
330,OLENNA: It feels proportionate.
331,TYWIN: Proportionate to what?
332,OLENNA: The expected extravagance.
333,TYWIN: People who spend their money on this sort of nonsense tend not to have it for long.
334,OLENNA: You ought to try enjoying something before you die. You might find it suits you.
335,MACE approaches and ties to join them.
336,"OLENNA: Not now, Mace. Lord Tywin and I are speaking."
337,"TYWIN and OLENNA continue, while MACE rears back."
338,"OLENNA: Anyway, I don't know what you're complaining about. I'm paying my share."
339,TYWIN: Shall we stick golden roses in half the meat pies to commemorate your generosity?
340,"OLENNA: No, your heartfelt thank you is its own reward. I would imagine I'd be hearing it again before long. Wars are rather expensive. ""The Iron Bank will have it's due."" How they love to remind everyone. Almost as much as you Lannisters with your debts."
341,TYWIN: I'm not worried about the Iron Bank.
342,"OLENNA: We both know you're smarter than that. Come, Tywin, let us celebrate young love."
343,CUT TO: THE WEDDING RECEPTION
344,"Jugglers and fire-breathers, some on stilts, entertain the crowd. BRONN, TYRION, and PODRICK walk among the tables."
345,BRONN: All taken care of.
346,TYRION: You saw her board the ship?
347,"BRONN: Aye, she's on it."
348,TYRION: You saw the ship sail away?
349,"BRONN: No one knows she's there but you, me, and Varys."
350,TYRION: How do you know?
351,"BRONN: Because if someone follows me without an invitation, I'm the last person they ever follow."
352,TYRION: There's someone following you?
353,BRONN turns and clasps TYRION's shoulder.
354,"BRONN: She's gone. I know you don't want to believe it, but she is. Now, go drink till it feels like you did the right thing."
355,BRONN exits.
356,TYRION and PODRICK walk through the party. They encounter OBERYN and ELLARIA.
357,OBERYN: Hello.
358,TYRION: Hello.
359,OBERYN: Not you.
360,OBERYN and ELLARIA are enthralled by a contortionist. TYRION and PODRICK walk on.
361,CUT TO: THE HEAD TABLE
362,JOFFREY watches the party. OLENNA approaches SANSA.
363,"OLENNA: You look exquisite, child. The wind has been at you, though. I haven't had the opportunity to tell you how sorry I was to hear about your brother. War is war, but killing a man at a wedding, horrid. What sort of monster would do such a thing? As if men need more reasons to fear marriage."
364,TYRION enters and sits.
365,TYRION: My lady. My lady.
366,"OLENNA: Lord Tyrion, you see? Not as bad as all that. Perhaps if your pauper husband were to sell his mule and his last pair of shoes, he might be able to afford to bring you to Highgarden for a visit. Now that peace has come and all is right with the world, it would do you good to see some of it. You must excuse me. It's time I ate some of this food I paid for."
367,"MUSICIAN: A coat of gold / Or a coat of red / A lion still has claws And mine, my lord..."
368,"MARGAERY is enjoying the performance, but JOFFREY is bored. He stands and throws some coins to them."
369,JOFFREY: Very good. Very good. Off you go.
370,"The musicians scrabble to pick up the coins, and depart quickly. MARGAERY moves to calm JOFFREY. CERSEI watches jealously, TOMMEN at her side."
371,"MARGAERY; My love, why don't we make the announcement?"
372,JOFFREY stands and clanks his goblet for attention.
373,JOFFREY: Everyone. The queen would like to say a few words.
374,The crowd applauds as JOFFREY sits and MARGAERY stands.
375,"MARGAERY: We are so fortunate to enjoy this marvelous food and drink. Not all among us are so lucky. To thank the gods for bringing the recent war to a just end, King Joffrey has decreed that the leftovers from our feast be given to the poorest in his city."
376,"The crowd applauds, and JOFFREY adores it. CERSEI comes over to MARGAERY."
377,CERSEI: You're an example to us all.
378,CERSEI kisses her on each cheek.
379,"LORAS stands in the distance, and catches OBERYN's eye as he cuddles with ELLARIA. LORAS accidentally backs into JAIME."
380,"LORAS: Ser Jaime, I'm very sorry."
381,"JAIME: Ser Loras, it's quite all right. Your sister looks very beautiful."
382,LORAS: As does yours.
383,"JAIME: So, looking forward to your wedding?"
384,"LORAS: Yes, very much."
385,JAIME: Our fathers are both rather keen on the prospect.
386,LORAS: They certainly are.
387,"JAIME: Perhaps they should get married. If you were to marry Cersei, she'd murder you in your sleep. If you somehow managed to put a child in her first, she'd murder him, too, long before he drew his first breath. Luckily for you, none of this will happen because you'll never marry her."
388,LORAS: And neither will you.
389,"LORAS pats JAIME on the shoulder, and exits. BRIENNE approaches the head table, and bows."
390,BRIENNE: Your Grace. My king. My queen.
391,MARGAERY stands and shakes her hand.
392,MARGAERY: Lady Brienne. So good of you to come.
393,"BRIENNE: I'm no lady, Your Grace."
394,CERSEI: Did you just bow?
395,"BRIENNE: Apologies, Your Grace. I never did master the curtsy."
396,JOFFREY: You're the one who put a sword through Renly Baratheon.
397,"MARGAERY: That's not true, my love. Brienne had nothing to do with it."
398,JOFFREY: A shame. I'd knight the man that put an end to that deviant's life.
399,BRIENNE: I just wanted to congratulate you both and wish you good fortune. The country has been at war too long. I hope your reign is long and peaceful.
400,"JOFFREY: Yes, yes."
401,MARGAERY: Thank you. I hope we see more of you.
402,"BRIENNE departs, and the camera follows her. CERSEI intercepts her."
403,CERSEI: Lady Brienne. You're Lord Selwyn Tarth's daughter. That makes you a lady whether you want to be or not.
404,"BRIENNE: As you say, Your Grace."
405,CERSEI: I owe you my gratitude. You returned my brother safely to King's Landing.
406,"BRIENNE: In truth, he rescued me, Your Grace. More than once."
407,CERSEI: Did he? Haven't heard that story before.
408,"BRIENNE: Not such a fascinating story, I'm afraid."
409,CERSEI: I'm sure you have many fascinating stories. Sworn to Renly Baratheon. Sworn to Catelyn Stark. And now my brother. Must be exciting to flit from one camp to the next serving whichever lord or lady you fancy.
410,"BRIENNE: I don't serve your brother, Your Grace."
411,CERSEI: But you love him.
412,BREINNE does not answer.
413,BRIENNE: Your Grace.
414,"BRIENNE exits, and JAIME notices their conversation."
415,CUT TO: THE HEAD TABLE
416,PYCELLE has cornered a maid.
417,"PYCELLE: No, no, come to my chambers and I will examine you personally."
418,CERSEI: She'll do no such thing.
419,"PYCELLE: Oh, Your Grace. Yes, well, this young lady sought my advice..."
420,CERSEI: You should see Qyburn. He's quite good.
421,MAID: Your Grace.
422,The MAID exits.
423,PYCELLE: Qyburn? Deplorable man. Brought shame on the Citadel with his repugnant experiments.
424,CERSEI: More repugnant than your gnarled fingers on that girl's thighs?
425,"PYCELLE: Your Grace, I am a man of learning."
426,CERSEI: My little brother had you sent to the Black Cells when you annoyed him. What do you think I could do to you if you annoyed me?
427,PYCELLE: I never meant to annoy anyone.
428,CERSEI: But you are. You annoy me right now. Every breath you draw in my presence annoys me. So here's what I want you to do. I want you to leave my presence. Leave this wedding right now. Go to the kitchens and instruct them that all the leftovers from the feast will be brought to the kennels.
429,"PYCELLE: Your Grace, Queen Margaery-"
430,CERSEI: The queen is telling you the leftovers will feed the dogs or you will.
431,"PYCELLE exits, and CERSEI smiles."
432,CUT TO: THE HEAD TABLE
433,"JOFFREY and MARGAERY watch a fool juggling. Once again, JOFFREY is not amused. He stands."
434,JOFFREY: A gold dragon to whoever knocks my fool's hat off.
435,"The fool is suddenly pelted with food, and he runs off. CERSEI and TYWIN enter."
436,TYWIN: You're in rather a good mood.
437,CERSEI: I suppose I am.
438,TYWIN: I won't ask why.
439,CERSEI: Small pleasures.
440,OBERYN and ELLARIA enter.
441,OBERYN: Your Grace. Lord Tywin.
442,TYWIN: Prince Oberyn.
443,"OBERYN: I don't believe you have met Ellaria. This is the Lord Hand Tywin Lannister and Cersei Lannister, the Queen Regent. I suppose it is former Queen Regent now. Lord Hand and Lady Cersei, Ellaria Sand."
444,ELLARIA: My lord. My lady.
445,TYWIN: Charmed.
446,CERSEI: Can't say I've ever met a Sand before.
447,"ELLARIA: We are everywhere in Dorne. I have 10,000 brothers and sisters."
448,"OBERYN: Bastards are born of passion, aren't they? We don't despise them in Dorne."
449,CERSEI: No? How tolerant of you.
450,"OBERYN: I expect it is a relief, Lady Cersei, giving up your regal responsibilities. Wearing the crown for so many years must have left your neck a bit crooked."
